GB 18030 码位	UCS 码位	字符	注释
0xCF9C	U+881D	蠝
0xD042	U+8826	蠦
0xD043	U+8827	蠧
0xD046	U+882A	蠪
0xD049	U+882D	蠭
0xD056	U+883D	蠽
0xD057	U+883E	蠾
0xD061	U+884B	衋
0xD199	U+892D	褭
0xD266	U+8962	襢
0xD267	U+8963	襣
0xD26C	U+8969	襩
0xD275	U+8972	襲
0xD27D	U+897A	襺
0xD27E	U+897C	襼
0xD280	U+897D	襽
0xD287	U+8988	覈
0xD289	U+898A	覊
0xD345	U+89A7	覧
0xD34F	U+89B1	覱
0xD358	U+89BA	覺
0xD35B	U+89BD	覽
0xD35D	U+89BF	覿
0xD376	U+89F1	觱
0xD37B	U+89F7	觷
0xD37E	U+89FA	觺
0xD381	U+89FC	觼
0xD582	U+8AC5	諅
0xD663	U+8B08	謈
0xD684	U+8B29	謩
0xD692	U+8B37	謷
0xD695	U+8B3A	謺
0xD698	U+8B3D	謽
0xD747	U+8B4D	譍
0xD75A	U+8B60	譠
0xD75F	U+8B65	譥
0xD76E	U+8B76	譶
0xD773	U+8B7B	譻
0xD774	U+8B7C	譼
0xD775	U+8B7D	譽
0xD778	U+8B80	讀
0xD77A	U+8B82	讂
0xD77E	U+8B86	讆
0xD784	U+8B8B	讋
0xD788	U+8B8F	讏
0xD789	U+8B90	讐
0xD78B	U+8B92	讒
0xD78E	U+8B95	讕
0xD794	U+8B9B	讛
0xD795	U+8B9C	讜
0xD797	U+8B9E	讞
0xD798	U+8B9F	讟
0xD84B	U+8C44	豄
0xD856	U+8C53	豓
0xD857	U+8C54	豔
0xD88F	U+8C9C	貜
0xD970	U+8CDE	賞
0xD973	U+8CE1	賡
0xD975	U+8CE3	賣
0xD97A	U+8CE8	賨
0xD981	U+8CEE	賮
0xD98A	U+8CF7	賷
0xD990	U+8CFD	賽
0xD993	U+8D00	贀
0xD994	U+8D01	贁
0xD997	U+8D04	贄
0xD998	U+8D05	贅
0xD99E	U+8D0B	贋
0xDA41	U+8D0F	贏
0xDA45	U+8D13	贓
0xDA46	U+8D14	贔
0xDA47	U+8D15	贕
0xDA48	U+8D16	贖
0xDA49	U+8D17	贗
0xDA4A	U+8D18	贘
0xDA4B	U+8D19	贙
0xDA4D	U+8D1B	贛
0xDA4E	U+8D1C	贜
0xDA88	U+8DAB	趫
0xDB8A	U+8E54	蹔
0xDC4F	U+8E89	躉
0xDC5A	U+8E97	躗
0xDC5E	U+8E9B	躛
0xDC5F	U+8E9D	躝
0xDC6A	U+8EA9	躩
0xDC6B	U+8EAA	躪
0xDC86	U+8EC9	軉
0xDD85	U+8F29	輩
0xDD9E	U+8F42	轂
0xDE55	U+8F5A	轚
0xDE58	U+8F5D	轝
0xDE5A	U+8F5F	轟
0xDE5B	U+8F60	轠
0xDE5F	U+8F64	轤
0xDE60	U+8F65	轥
0xDF81	U+9085	邅
0xDF85	U+908A	邊
0xDF87	U+908D	邍
0xDF88	U+908E	邎
0xE09B	U+913E	鄾
0xE09E	U+9141	酁
0xE15F	U+918E	醎
0xE171	U+91A7	醧
0xE177	U+91B1	醱
0xE17E	U+91BB	醻
0xE180	U+91BC	醼
0xE181	U+91BD	醽
0xE182	U+91BE	醾
0xE183	U+91BF	醿
0xE185	U+91C1	釁
0xE186	U+91C2	釂
0xE187	U+91C3	釃
0xE188	U+91C4	釄
0xE189	U+91C5	釅
0xE18D	U+91D0	釐
0xE759	U+93E8	鏨
0xE78E	U+941C	鐜
0xE79C	U+942A	鐪
0xE85B	U+944B	鑋
0xE85E	U+944E	鑎
0xE86F	U+945F	鑟
0xE872	U+9462	鑢
0xE87A	U+946A	鑪
0xE880	U+9470	鑰
0xE881	U+9471	鑱
0xE886	U+9476	鑶
0xE88E	U+947E	鑾
0xE88F	U+947F	鑿
0xE890	U+9480	钀
0xE891	U+9481	钁
0xE892	U+9482	钂
0xE893	U+9483	钃
0xE894	U+9484	钄
0xE94B	U+9575	镵
0xE99D	U+95C8	闈
0xEA44	U+95D0	闐
0xEA54	U+95E0	闠
0xEA57	U+95E3	闣
0xEA59	U+95E5	闥
0xEA5A	U+95E6	闦
0xEA5B	U+95E7	闧
0xEB76	U+96DF	雟
0xEB7D	U+96E7	雧
0xEB90	U+9705	霅
0xEB92	U+970B	霋
0xEB93	U+970C	霌
0xEC42	U+9723	霣
0xEC43	U+9724	霤
0xEC44	U+9725	霥
0xEC46	U+9727	霧
0xEC47	U+9728	霨
0xEC48	U+9729	霩
0xEC49	U+972B	霫
0xEC4A	U+972C	霬
0xEC4B	U+972E	霮
0xEC4C	U+972F	霯
0xEC4D	U+9731	霱
0xEC4E	U+9733	霳
0xEC50	U+9735	霵
0xEC51	U+9736	霶
0xEC52	U+9737	霷
0xEC54	U+973B	霻
0xEC56	U+973D	霽
0xEC57	U+973F	霿
0xEC58	U+9740	靀
0xEC59	U+9741	靁
0xEC5A	U+9742	靂
0xEC5C	U+9744	靄
0xEC5F	U+9747	靇
0xEC62	U+974A	靊
0xEC63	U+974B	靋
0xEC64	U+974C	靌
0xEC65	U+974D	靍
0xEC66	U+974E	靎
0xEC67	U+974F	靏
0xEC68	U+9750	靐
0xEC76	U+9768	靨
0xEC94	U+978C	鞌
0xED44	U+97A4	鞤
0xED4A	U+97AA	鞪
0xED51	U+97B6	鞶
0xED52	U+97B7	鞷
0xED5C	U+97C1	韁
0xED62	U+97C7	韇
0xED65	U+97CA	韊
0xED6A	U+97CF	韏
0xED81	U+97E5	韥
0xED90	U+97FE	韾
0xED91	U+97FF	響
0xEE9D	U+986B	顫
0xEF41	U+9870	顰
0xEF42	U+9871	顱
0xEF43	U+9872	顲
0xEF52	U+98AE	颮
0xEF56	U+98B2	颲
0xEF58	U+98B4	颴
0xEF59	U+98B5	颵
0xEF5A	U+98B6	颶
0xEF5B	U+98B7	颷
0xEF5C	U+98B8	颸
0xEF5D	U+98B9	颹
0xEF5E	U+98BA	颺
0xEF5F	U+98BB	颻
0xEF60	U+98BC	颼
0xEF61	U+98BD	颽
0xEF62	U+98BE	颾
0xEF63	U+98BF	颿
0xEF64	U+98C0	飀
0xEF65	U+98C1	飁
0xEF66	U+98C2	飂
0xEF67	U+98C3	飃
0xEF68	U+98C4	飄
0xEF69	U+98C5	飅
0xEF6A	U+98C6	飆
0xEF6B	U+98C7	飇
0xEF6C	U+98C8	飈
0xEF6D	U+98C9	飉
0xEF6E	U+98CA	飊
0xEF6F	U+98CB	飋
0xEF70	U+98CC	飌
0xEF71	U+98CD	飍
0xEF79	U+98DD	飝
0xF085	U+994F	饏
0xF08B	U+9957	饗
0xF08C	U+9958	饘
0xF090	U+995C	饜
0xF092	U+995E	饞
0xF096	U+9962	饢
0xF151	U+99AB	馫
0xF159	U+99B3	馳
0xF15C	U+99B6	馶
0xF160	U+99BA	馺
0xF162	U+99BC	馼
0xF164	U+99BE	馾
0xF166	U+99C0	駀
0xF16A	U+99C4	駄
0xF16B	U+99C5	駅
0xF16C	U+99C6	駆
0xF16E	U+99C8	駈
0xF16F	U+99C9	駉
0xF170	U+99CA	駊
0xF180	U+99D9	駙
0xF181	U+99DA	駚
0xF183	U+99DC	駜
0xF185	U+99DE	駞
0xF186	U+99DF	駟
0xF187	U+99E0	駠
0xF189	U+99E2	駢
0xF18A	U+99E3	駣
0xF18C	U+99E5	駥
0xF18E	U+99E7	駧
0xF191	U+99EA	駪
0xF192	U+99EB	駫
0xF194	U+99ED	駭
0xF195	U+99EE	駮
0xF196	U+99EF	駯
0xF197	U+99F0	駰
0xF198	U+99F1	駱
0xF199	U+99F2	駲
0xF19A	U+99F3	駳
0xF19B	U+99F4	駴
0xF19C	U+99F5	駵
0xF19D	U+99F6	駶
0xF19E	U+99F7	駷
0xF19F	U+99F8	駸
0xF1A0	U+99F9	駹
0xF240	U+99FA	駺
0xF242	U+99FC	駼
0xF244	U+99FE	駾
0xF245	U+99FF	駿
0xF246	U+9A00	騀
0xF247	U+9A01	騁
0xF249	U+9A03	騃
0xF24A	U+9A04	騄
0xF24B	U+9A05	騅
0xF24C	U+9A06	騆
0xF24D	U+9A07	騇
0xF24E	U+9A08	騈
0xF24F	U+9A09	騉
0xF250	U+9A0A	騊
0xF251	U+9A0B	騋
0xF252	U+9A0C	騌
0xF253	U+9A0D	騍
0xF254	U+9A0E	騎
0xF256	U+9A10	騐
0xF257	U+9A11	騑
0xF258	U+9A12	騒
0xF259	U+9A13	験
0xF25A	U+9A14	騔
0xF25B	U+9A15	騕
0xF25D	U+9A17	騗
0xF25E	U+9A18	騘
0xF25F	U+9A19	騙
0xF260	U+9A1A	騚
0xF261	U+9A1B	騛
0xF262	U+9A1C	騜
0xF263	U+9A1D	騝
0xF264	U+9A1E	騞
0xF265	U+9A1F	騟
0xF266	U+9A20	騠
0xF267	U+9A21	騡
0xF268	U+9A22	騢
0xF269	U+9A23	騣
0xF26A	U+9A24	騤
0xF26B	U+9A25	騥
0xF26C	U+9A26	騦
0xF26D	U+9A27	騧
0xF26E	U+9A28	騨
0xF26F	U+9A29	騩
0xF270	U+9A2A	騪
0xF271	U+9A2B	騫
0xF272	U+9A2C	騬
0xF273	U+9A2D	騭
0xF274	U+9A2E	騮
0xF275	U+9A2F	騯
0xF277	U+9A31	騱
0xF278	U+9A32	騲
0xF279	U+9A33	騳
0xF27A	U+9A34	騴
0xF27B	U+9A35	騵
0xF27C	U+9A36	騶
0xF27D	U+9A37	騷
0xF27E	U+9A38	騸
0xF280	U+9A39	騹
