G2-2721	⿵门詹
G2-2722	㝉
G2-2723	⿱宀丰
G2-2724	⿱宀为
G2-2725	宔
G2-2726	⿱宀亚
G2-2727	宬
G2-2728	⿱宀执
G2-2729	宧
G2-2730	㝗
G2-2731	宭
G2-2732	寁
G2-2733	㝣
G2-2734	𡩁
G2-2735	寎
G2-2736	㝦
G2-2737	㝥
G2-2738	㝬
G2-2739	㝩
G2-2740	寣
G2-2741	㝮
G2-2742	㣇
G2-2743	㣈
G2-2744	杘
G2-2745	屃
G2-2746	𪨊
G2-2747	㞏
G2-2748	㞎
G2-2749	鸤
G2-2750	屄
G2-2751	屌
G2-2752	㞒
G2-2753	㞓
G2-2754	屒
G2-2755	㞗
G2-2756	屖
G2-2757	𡱰
G2-2758	屝
G2-2759	㞚
G2-2760	𪨗
G2-2761	㞜
G2-2762	㞠
G2-2763	㞟
G2-2764	䪱
G2-2765	巸
G2-2766	㢨
G2-2767	弙
G2-2768	⿰弓广
G2-2769	弜
G2-2770	⿰弓区
G2-2771	弞
G2-2772	弣
G2-2773	弤
G2-2774	㢯
G2-2775	弢
G2-2776	弨
G2-2777	㢰
G2-2778	𪪼
G2-2779	弮
G2-2780	弰
G2-2781	弲
G2-2782	㢻
G2-2783	弸
G2-2784	弶
G2-2785	㣁
G2-2786	㣂
G2-2787	㣄
G2-2788	㣅
G2-2789	彏
G2-2790	奵
G2-2791	⿰弓与
G2-2792	奼
G2-2793	奺
G2-2794	⿰弓义
G2-2801	⿰弓𠃓
G2-2802	妌
G2-2803	妧
G2-2804	⿰女韦
G2-2805	妘
G2-2806	⿰女专
G2-2807	姖
G2-2808	⿱⿰〢又女
G2-2809	妠
G2-2810	妎
G2-2811	妢
G2-2812	妐
G2-2813	姂
G2-2814	妔
G2-2815	妜
G2-2816	妑
G2-2817	妺
G2-2818	姃
G2-2819	姏
G2-2820	⿱𫇦女
G2-2821	妭
G2-2822	⿰女东
G2-2823	㚲
G2-2824	姎
G2-2825	姌
G2-2826	姈
G2-2827	姁
G2-2828	妴
G2-2829	㛀
G2-2830	妵
G2-2831	妶
G2-2832	姅
G2-2833	𪥰
G2-2834	妼
G2-2835	⿰女𢀖
G2-2836	㛃
G2-2837	娀
G2-2838	姞
G2-2839	姮
G2-2840	䎟
G2-2841	姱
G2-2842	娍
G2-2843	姕
G2-2844	⿰女贞
G2-2845	姛
G2-2846	姩
G2-2847	姺
G2-2848	娗
G2-2849	姡
G2-2850	娫
G2-2851	⿰女华
G2-2852	姤
G2-2853	⿰女会
G2-2854	姶
G2-2855	姽
G2-2856	姰
G2-2857	姼
G2-2858	⿰女刘
G2-2859	⿰女严
G2-2860	娔
G2-2861	㛘
G2-2862	娕
G2-2863	娪
G2-2864	㛒
G2-2865	㛤
G2-2866	娝
G2-2867	𫝫
G2-2868	娎
G2-2869	娖
G2-2870	⿰女佥
G2-2871	㛗
G2-2872	娐
G2-2873	⿰女龟
G2-2874	娧
G2-2875	㛚
G2-2876	娭
G2-2877	⿰女责
G2-2878	⿱规女
G2-2879	婞
G2-2880	娸
G2-2881	娵
G2-2882	婼
G2-2883	媌
G2-2884	媖
G2-2885	婳
G2-2886	𪥿
G2-2887	娾
G2-2888	婍
G2-2889	㛪
G2-2890	⿱斩女
G2-2891	婫
G2-2892	婟
G2-2893	婩
G2-2894	娷
G2-2901	婑
G2-2902	婗
G2-2903	婎
G2-2904	婤
G2-2905	婏
G2-2906	婄
G2-2907	婘
G2-2908	婠
G2-2909	娽
G2-2910	𡞋
G2-2911	娺
G2-2912	㛥
G2-2913	媅
G2-2914	婻
G2-2915	媠
G2-2916	媔
G2-2917	媞
G2-2918	媢
G2-2919	媀
G2-2920	媦
G2-2921	𫝬
G2-2922	㛼
G2-2923	㛹
G2-2924	媓
G2-2925	媭
G2-2926	媕
G2-2927	媂
G2-2928	嫅
G2-2929	𡞱
G2-2930	媊
G2-2931	媨
G2-2932	媣
G2-2933	媉
G2-2934	媃
G2-2935	㜇
G2-2936	媐
G2-2937	⿰女监
G2-2938	嫎
G2-2939	㜅
G2-2940	嫇
G2-2941	嫤
G2-2942	嫨
G2-2943	嫛
G2-2944	嫕
G2-2945	㜘
G2-2946	嫭
G2-2947	嫚
G2-2948	㜝
