兼容字	SVS 表示	兼容字对应码点	SVS 码点
賓	賓︀	U+FA64	U+8CD3 U+FE00
贈	贈︀	U+FA65	U+8D08 U+FE00
辶	辶︀	U+FA66	U+8FB6 U+FE00
逸	逸︁	U+FA67	U+9038 U+FE01
難	難︀	U+FA68	U+96E3 U+FE00
響	響︀	U+FA69	U+97FF U+FE00
頻	頻︀	U+FA6A	U+983B U+FE00
恵	恵︀	U+FA6B	U+6075 U+FE00
𤋮	𤋮︀	U+FA6C	U+242EE U+FE00
舘	舘︀	U+FA6D	U+8218 U+FE00
並	並︀	U+FA70	U+4E26 U+FE00
况	况︀	U+FA71	U+51B5 U+FE00
全	全︀	U+FA72	U+5168 U+FE00
侀	侀︀	U+FA73	U+4F80 U+FE00
充	充︀	U+FA74	U+5145 U+FE00
冀	冀︀	U+FA75	U+5180 U+FE00
勇	勇︀	U+FA76	U+52C7 U+FE00
勺	勺︀	U+FA77	U+52FA U+FE00
喝	喝︁	U+FA78	U+559D U+FE01
啕	啕︀	U+FA79	U+5555 U+FE00
喙	喙︀	U+FA7A	U+5599 U+FE00
嗢	嗢︀	U+FA7B	U+55E2 U+FE00
塚	塚︁	U+FA7C	U+585A U+FE01
墳	墳︀	U+FA7D	U+58B3 U+FE00
奄	奄︀	U+FA7E	U+5944 U+FE00
奔	奔︀	U+FA7F	U+5954 U+FE00
婢	婢︀	U+FA80	U+5A62 U+FE00
嬨	嬨︀	U+FA81	U+5B28 U+FE00
廒	廒︀	U+FA82	U+5ED2 U+FE00
廙	廙︀	U+FA83	U+5ED9 U+FE00
彩	彩︀	U+FA84	U+5F69 U+FE00
徭	徭︀	U+FA85	U+5FAD U+FE00
惘	惘︀	U+FA86	U+60D8 U+FE00
慎	慎︀	U+FA87	U+614E U+FE00
愈	愈︀	U+FA88	U+6108 U+FE00
憎	憎︁	U+FA89	U+618E U+FE01
慠	慠︀	U+FA8A	U+6160 U+FE00
懲	懲︁	U+FA8B	U+61F2 U+FE01
戴	戴︀	U+FA8C	U+6234 U+FE00
揄	揄︀	U+FA8D	U+63C4 U+FE00
搜	搜︀	U+FA8E	U+641C U+FE00
摒	摒︀	U+FA8F	U+6452 U+FE00
敖	敖︀	U+FA90	U+6556 U+FE00
晴	晴︁	U+FA91	U+6674 U+FE01
朗	朗︁	U+FA92	U+6717 U+FE01
望	望︀	U+FA93	U+671B U+FE00
杖	杖︀	U+FA94	U+6756 U+FE00
歹	歹︀	U+FA95	U+6B79 U+FE00
殺	殺︁	U+FA96	U+6BBA U+FE01
流	流︁	U+FA97	U+6D41 U+FE01
滛	滛︀	U+FA98	U+6EDB U+FE00
滋	滋︀	U+FA99	U+6ECB U+FE00
漢	漢︁	U+FA9A	U+6F22 U+FE01
瀞	瀞︀	U+FA9B	U+701E U+FE00
煮	煮︁	U+FA9C	U+716E U+FE01
瞧	瞧︀	U+FA9D	U+77A7 U+FE00
爵	爵︀	U+FA9E	U+7235 U+FE00
犯	犯︀	U+FA9F	U+72AF U+FE00
猪	猪︁	U+FAA0	U+732A U+FE01
瑱	瑱︀	U+FAA1	U+7471 U+FE00
甆	甆︀	U+FAA2	U+7506 U+FE00
画	画︀	U+FAA3	U+753B U+FE00
瘝	瘝︀	U+FAA4	U+761D U+FE00
瘟	瘟︀	U+FAA5	U+761F U+FE00
益	益︁	U+FAA6	U+76CA U+FE01
盛	盛︀	U+FAA7	U+76DB U+FE00
直	直︀	U+FAA8	U+76F4 U+FE00
睊	睊︀	U+FAA9	U+774A U+FE00
着	着︀	U+FAAA	U+7740 U+FE00
磌	磌︀	U+FAAB	U+78CC U+FE00
窱	窱︀	U+FAAC	U+7AB1 U+FE00
節	節︁	U+FAAD	U+7BC0 U+FE01
类	类︀	U+FAAE	U+7C7B U+FE00
絛	絛︀	U+FAAF	U+7D5B U+FE00
練	練︂	U+FAB0	U+7DF4 U+FE02
缾	缾︀	U+FAB1	U+7F3E U+FE00
者	者︁	U+FAB2	U+8005 U+FE01
荒	荒︀	U+FAB3	U+8352 U+FE00
華	華︀	U+FAB4	U+83EF U+FE00
蝹	蝹︀	U+FAB5	U+8779 U+FE00
襁	襁︀	U+FAB6	U+8941 U+FE00
覆	覆︀	U+FAB7	U+8986 U+FE00
視	視︁	U+FAB8	U+8996 U+FE01
調	調︀	U+FAB9	U+8ABF U+FE00
諸	諸︁	U+FABA	U+8AF8 U+FE01
請	請︀	U+FABB	U+8ACB U+FE00
謁	謁︁	U+FABC	U+8B01 U+FE01
諾	諾︁	U+FABD	U+8AFE U+FE01
諭	諭︀	U+FABE	U+8AED U+FE00
謹	謹︁	U+FABF	U+8B39 U+FE01
變	變︀	U+FAC0	U+8B8A U+FE00
贈	贈︁	U+FAC1	U+8D08 U+FE01
輸	輸︀	U+FAC2	U+8F38 U+FE00
遲	遲︀	U+FAC3	U+9072 U+FE00
醙	醙︀	U+FAC4	U+9199 U+FE00
鉶	鉶︀	U+FAC5	U+9276 U+FE00
陼	陼︀	U+FAC6	U+967C U+FE00
難	難︁	U+FAC7	U+96E3 U+FE01
靖	靖︁	U+FAC8	U+9756 U+FE01
韛	韛︀	U+FAC9	U+97DB U+FE00
響	響︁	U+FACA	U+97FF U+FE01
頋	頋︀	U+FACB	U+980B U+FE00
頻	頻︁	U+FACC	U+983B U+FE01
鬒	鬒︀	U+FACD	U+9B12 U+FE00
龜	龜︂	U+FACE	U+9F9C U+FE02
𢡊	𢡊︀	U+FACF	U+2284A U+FE00
𢡄	𢡄︀	U+FAD0	U+22844 U+FE00
𣏕	𣏕︀	U+FAD1	U+233D5 U+FE00
㮝	㮝︀	U+FAD2	U+3B9D U+FE00
䀘	䀘︀	U+FAD3	U+4018 U+FE00
䀹	䀹︀	U+FAD4	U+4039 U+FE00
𥉉	𥉉︀	U+FAD5	U+25249 U+FE00
𥳐	𥳐︀	U+FAD6	U+25CD0 U+FE00
𧻓	𧻓︀	U+FAD7	U+27ED3 U+FE00
齃	齃︀	U+FAD8	U+9F43 U+FE00
